Date,Headline,Source,Sentiment Score,Organization Names
"Sun, 04 Feb 2024 02:32:04 GMT","Green hydrogen: Proposals for projects worth ₹2.70 trillion received, says energy minister - Hindustan Times",Google News,0.9727907180786133,Hindustan Times
"Fri, 02 Feb 2024 12:49:24 GMT","Maharashtra Spearheads Green Energy Revolution with ₹2,76300 Crore Investment and 63900 Jobs in Green ... - SolarQuarter",Google News,0.9986374974250793,SolarQua
"Fri, 02 Feb 2024 03:01:00 GMT",‘Gujarat can lead world in green hydrogen’ - Times of India,Google News,0.9956700801849365,Times of India
"Fri, 02 Feb 2024 10:00:49 GMT",India Launches Pilot Projects for Green Hydrogen in Maritime Sector under National Mission - SolarQuarter,Google News,0.9940658807754517,##ua
"Sat, 03 Feb 2024 12:55:13 GMT","Reliance Industries to convert its 5,000 ICE trucks to green hydrogen-powered H2ICE trucks by mid-2024 - Autocar Professional",Google News,0.7836092710494995,"Reliance Industries, Autocar"
"Fri, 02 Feb 2024 12:50:00 GMT","Budget 2024: Rooftop solar, green hydrogen push — experts discuss initiatives to charge up renewable energy sector | Mint - Mint",Google News,0.9024055600166321,"Mint, Mint"
"Thu, 01 Feb 2024 13:17:21 GMT","Rs 11,500 crore outlay: Budget 2024 adds spark to wind & solar energy, green hydrogen projects - Business Today",Google News,0.9986050724983215,Business Today
"Fri, 02 Feb 2024 12:51:00 GMT",Chinese electrolyser companies secure export orders for green hydrogen projects in Middle East and Asia - Hydrogen Insight,Google News,0.9989527463912964,Hydrogen Insight
"Fri, 02 Feb 2024 16:50:38 GMT","The Hydrogen Stream: Airbus, Vattenfall to assess potential for airport hydrogen - pv magazine International",Google News,0.9827123880386353,"Airbus, Vattenfall, International"
"Fri, 02 Feb 2024 11:06:23 GMT","THDC Unveils Trailblazing Green Hydrogen Pilot Project in Uttarakhand, Pioneering Sustainable Energy Solutions - SolarQuarter",Google News,0.9993438124656677,"THDC, SolarQua"
"Sat, 03 Feb 2024 03:38:07 GMT",Support for Ports and Portability to Green Hydrogen - ETAuto,Google News,0.9814630746841431,"Ports and Portability, ETAuto"
"Fri, 02 Feb 2024 17:51:25 GMT",MNRE issues guidelines for pilot projects implementing Green Hydrogen in steel sector - CNBCTV18,Google News,0.9788070917129517,"MNRE, CNBCTV"
"Thu, 01 Feb 2024 15:38:12 GMT",Green Hydrogen Mission gets whopping 102% hike in allocation in Interim Budget - The Economic Times,Google News,0.9774829149246216,"Green Hydrogen Mission, The Economic Times"
"Sat, 03 Feb 2024 17:07:46 GMT",Government Issues Pilot Project Guidelines For Utilizing Green Hydrogen In Steel Sector - - Khabar India,Google News,0.9535563588142395,
"Sat, 03 Feb 2024 16:54:39 GMT","SAF, Green Hydrogen, CCUS likely to be in spotlight at IEW 2024: EIL CMD - PSU Watch",Google News,0.9647294282913208,"SAF, Green Hydrogen, CCUS, I, EIL, PSU"
"Sat, 03 Feb 2024 05:29:53 GMT",Green Hydrogen Revolution in Indian Steel: National Mission Unleashes Promising Pilot Initiatives - SolarQuarter,Google News,0.9993582367897034,SolarQua
"Fri, 02 Feb 2024 16:51:47 GMT",MNRE releases guidelines on use of green hydrogen in shipping sector - Business Standard,Google News,0.7998651266098022,MNRE
"Fri, 02 Feb 2024 16:50:05 GMT",Steel and Port Ministries issue guidelines to incentivise hydrogen usage - BusinessLine,Google News,0.9790442585945129,"Steel and Port Ministries, BusinessLine"
"Fri, 02 Feb 2024 17:35:36 GMT",Govt allocates Rs 115 crore for green hydrogen pilot in shipping sector: MNRE - ETEnergyWorld,Google News,0.9437766671180725,"M, ##E, ETEnergyWorld"
"Tue, 30 Jan 2024 02:38:04 GMT",State signs MoUs for green hydrogen projects and steel plant - Hindustan Times,Google News,0.9557443261146545,Hindustan Times
"Fri, 02 Feb 2024 01:30:00 GMT",Budget 2024: Green hydrogen’s allocation rises by whopping 102 per cent - ETEnergyWorld,Google News,0.637454628944397,ETEnergyWorld
"Fri, 02 Feb 2024 02:30:00 GMT",'Gujarat can lead world in green hydrogen' - Times of India,Google News,0.9973098039627075,Times of India
"Tue, 30 Jan 2024 08:10:07 GMT","NTPC Green Energy inks MoU with Maharashtra Govt for green hydrogen projects Worth ₹80,000 crore - ETEnergyWorld",Google News,0.7586344480514526,"NTPC Green Energy, ETEnergyWorld"
"Fri, 02 Feb 2024 08:51:34 GMT",Jordan's Energy Minister Inks MoU For Green Hydrogen Project Feasibility Studies - SolarQuarter,Google News,0.814261794090271,SolarQua
"Fri, 26 Jan 2024 06:12:20 GMT",India's Plans to Achieve Cost-Effective Green Hydrogen Production - India Briefing,Google News,0.7239755988121033,
"Sat, 03 Feb 2024 08:32:45 GMT",India Launches Green Hydrogen Pilot Projects in Shipping Sector - Asia Pacific - Energetica India ,Google News,0.9970332384109497,Energetica India
"Mon, 29 Jan 2024 01:43:42 GMT","ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala - ETEnergyWorld",Google News,0.733632504940033,"ReNew, ETEnergyWorld"
"Fri, 02 Feb 2024 09:58:11 GMT",Lhyfe Commences Construction on 10-MW Green Hydrogen Facility in Germany - ChemAnalyst,Google News,0.9424543380737305,"Lhyfe, ChemAnalyst"
"Fri, 02 Feb 2024 08:30:38 GMT",Semarak RE And PowerChina Join Forces For Malaysia's First Large-Scale Green Hydrogen Project - SolarQuarter,Google News,0.9977623224258423,"Semarak RE, PowerChina, Solar, ##ua"
"Fri, 02 Feb 2024 13:02:33 GMT",Government Launches Pilot Projects Using Green Hydrogen in Shipping - Mercom India,Google News,0.8493108749389648,Mercom India
"Wed, 31 Jan 2024 12:22:06 GMT",Hygenco to invest $2.5 bn over 3 years to set up Green Hydrogen projects in India - ETEnergyWorld,Google News,0.7834764122962952,"Hygenco, ETEnergyWorld"
"Wed, 31 Jan 2024 19:31:44 GMT","Rooftop solar, green hydrogen, offshore wind, green energy corridor may find mention in FM's Budget speech - Moneycontrol",Google News,0.9600422382354736,FM
"Sat, 03 Feb 2024 07:47:00 GMT",Government of India Unveils Guidelines for Green Hydrogen Pilot Projects in Steel Sector - Asia Pacific - Energetica India ,Google News,0.9957038760185242,"Government of India, Energetica India"
"Fri, 02 Feb 2024 02:48:43 GMT","Budget boost for clean energy: Solar allocation soars to ₹8,500 cr; green hydrogen funding doubles - ETEnergyWorld",Google News,0.9542856812477112,ETEnergyWorld
"Thu, 01 Feb 2024 14:02:32 GMT",Linde Commences Delivery of Green Hydrogen and Captured Carbon Dioxide to Celanese - ChemAnalyst,Google News,0.7738231420516968,"Linde, Celanese, ChemAnalyst"
"Thu, 01 Feb 2024 13:34:09 GMT",Gujarat ready to emerge as global leader in green hydrogen production Guv Devvrat in Assembly - The Week,Google News,0.9978088736534119,Dev
"Wed, 31 Jan 2024 10:17:11 GMT",Exploration Launched for Green Hydrogen Integration in Moroccan Power Plant - ChemAnalyst,Google News,0.9210594892501831,ChemAnalyst
"Fri, 02 Feb 2024 11:07:29 GMT",Egypt launches 55% tax credit to boost green hydrogen production - ETN News,Google News,0.8805364370346069,ETN News
"Sat, 03 Feb 2024 06:33:12 GMT",Government issues Guidelines for Pilot Projects for utilizing Green Hydrogen in Shipping Sector - Nagaland Tribune,Google News,0.9583340883255005,Nagaland Tribune
"Tue, 30 Jan 2024 05:56:22 GMT",The Hydrogen Stream: India's Maharashtra signs MoUs for green hydrogen projects worth over $33.2 billion - pv magazine India,Google News,0.6316280961036682,
"Fri, 02 Feb 2024 02:57:05 GMT",Lhyfe begins construction of 10 MW green hydrogen plant in Lower Saxony - ETN News,Google News,0.5088438391685486,"Lhyfe, ETN News"
"Wed, 31 Jan 2024 11:03:46 GMT",NGEL Inks MoU with Maharashtra for Green Hydrogen Projects - SMEStreet,Google News,0.9867700338363647,"NGEL Inks, SM"
"Wed, 31 Jan 2024 03:53:17 GMT",NTPC Green Energy Limited Enters Agreement with Maharashtra Government for Green Hydrogen Development - SolarQuarter,Google News,0.8345786333084106,NTPC Green Energy Limited
"Sat, 03 Feb 2024 06:51:49 GMT","Lhyfe to Start Construction of 10 MW Green Hydrogen Plant in Brake, Germany - Europe - Energetica India ",Google News,0.9402269721031189,"Lhyfe, Energetica India"
"Tue, 30 Jan 2024 08:14:54 GMT","NTPC arm, Maharashtra govt ink pact to develop green hydrogen projects - Business Standard",Google News,0.6938546299934387,NTPC
"Thu, 01 Feb 2024 13:08:18 GMT",Electrolyzer Technologies That Can Drive Green Hydrogen Success - EE Times Europe,Google News,0.9755404591560364,EE Times Europe
"Fri, 02 Feb 2024 16:10:57 GMT",Govt to provide 50% financial aid to pilot projects using Green Hydrogen in steel sector - PSU Watch,Google News,0.717441976070404,PSU Watch
"Sat, 03 Feb 2024 06:32:00 GMT","Jakson Green, NTPC Commence Work on World's Largest Green Hydrogen Fueling Station - Asia Pacific - Energetica India ",Google News,0.9872084259986877,"NTPC, Energetica India"
"Thu, 01 Feb 2024 07:11:59 GMT",THDC Reveals Innovative Green Hydrogen Pilot Project - Machine Maker,Google News,0.9994538426399231,"T, ##HDC"
"Tue, 30 Jan 2024 12:43:07 GMT","NTPC Green Energy to invest ₹80,000 cr for Maharashtra projects | Mint - Mint",Google News,0.9114208221435547,"NTPC Green Energy, Mint, Mint"
"Tue, 30 Jan 2024 16:03:47 GMT",NTPC arm signs MoU for INR 80000 crore green hydrogen to ammonia project - pv magazine India,Google News,0.9432177543640137,NTPC
"Fri, 02 Feb 2024 17:10:12 GMT",Govt unveils guidelines for supporting pilot projects using Green Hydrogen in shipping sector - PSU Watch,Google News,0.8409575819969177,PSU Watch
"Fri, 02 Feb 2024 17:07:00 GMT",Govt issues guidelines for pilot projects on utilizing green hydrogen in shipping sector - ANI News,Google News,0.9747695922851562,ANI News
"Fri, 02 Feb 2024 12:20:55 GMT",H2V to Integrate Vallourec’s Hydrogen Storage System into Green Hydrogen Projects - Europe - Energetica India ,Google News,0.9951038360595703,"Vallourec, Energetica India"
